time,soil,light,ph,steam,dh_h,dh_t,therm,lm35
168,1.3594872,0.9452747,0.6000004,0.08380952,63,18,19.173034,20.227106
169,1.3594872,0.89692308,0.6000004,0.0821978,63,18,19.064514,20.227106
171,1.3610989,0.89692308,0.6000004,0.0821978,63,18,18.983002,20.871796
172,1.3610989,0.87516488,0.6000004,0.08380952,63,18,18.983002,20.630038
173,1.3651282,0.89692308,0.6000004,0.08139194,63,19,19.470582,19.904762
175,1.4086447,0.87516488,0.6000004,0.08461539,63,19,19.470582,20.549452
176,1.4094505,0.7720146,0.6000004,0.08461539,63,18,19.605438,20.549452
177,1.4094505,0.87516488,0.6000004,0.08300366,63,18,19.605438,20.307692
178,1.4094505,0.7720146,0.6000004,0.08300366,63,18,19.605438,19.904762
180,1.4094505,0.7720146,0.6000004,0.08461539,63,18,19.605438,20.307692
181,1.4078388,0.79054948,0.6000004,0.08380952,63,18,19.281402,20.307692
182,1.4078388,0.79054948,0.6000004,0.08461539,63,18,19.281402,20.630038
184,1.4134798,0.79054948,0.6000004,0.086227108,63,19,19.281402,20.630038
185,1.4134798,0.7978022,0.6000004,0.086227108,63,19,19.605438,20.791208
186,1.4078388,0.7978022,0.6000004,0.08703297,63,19,19.605438,20.630038
187,1.4215384,0.7978022,0.6000004,0.08703297,63,18,19.605438,20.630038
189,1.4038096,0.8260073,0.6000004,0.08703297,63,19,19.281402,20.630038
190,1.4038096,0.8260073,0.6000004,0.08703297,63,19,19.281402,20.630038
191,1.4247619,0.8260073,0.6000004,0.08703297,63,19,19.281402,20.630038
193,1.4247619,0.8260073,0.6000004,0.08703297,63,19,19.632354,20.549452
194,1.4263736,0.7276923,0.6000004,0.08139194,63,19,19.632354,20.468866
195,1.4263736,0.7276923,0.6000004,0.07897436,63,19,19.632354,20.468866
197,1.4086447,0.7276923,0.6000004,0.07897436,63,18,19.416596,20.791208
198,1.4086447,0.7276923,0.6000004,0.08139194,63,19,19.416596,20.549452
199,1.4086447,0.7655678,0.6000004,0.0821978,63,19,19.389556,20.549452
200,1.3917216,0.7655678,0.6000004,0.0821978,63,19,19.389556,20.549452
202,1.3917216,0.74703292,0.6000004,0.08461539,63,19,19.389556,19.824176
203,1.3917216,0.7655678,0.6000004,0.08783882,63,19,19.33551,19.824176
204,1.3917216,0.74703292,0.6000004,0.08783882,63,19,19.33551,19.824176
206,1.4102564,0.74703292,0.6000004,0.090256416,63,19,19.227234,20.549452
207,1.4102564,0.9452747,0.6000004,0.090256416,63,19,19.145936,20.871796
208,1.4102564,0.9452747,0.6000004,0.09106227,63,19,19.145936,20.871796
209,1.4086447,0.86630032,0.6000004,0.091868132,63,19,19.470582,20.791208
211,1.4086447,0.938021936,0.6000004,0.091868132,63,19,19.470582,20.791208
212,1.3667399,0.86630032,0.6000004,0.090256416,63,19,19.470582,20.549452
213,1.4030036,0.787326,0.6000004,0.091868132,63,19,19.470582,20.468866
215,1.400586,0.86630032,0.6000004,0.092673992,63,19,19.389556,19.985348
216,1.383663,0.787326,0.6000004,0.092673992,63,19,19.389556,19.985348
217,1.383663,0.7736264,0.6000004,0.09347985,63,19,19.389556,19.824176
218,1.383663,0.787326,0.6000004,0.09347985,63,19,19.389556,19.824176
220,1.383663,0.7736264,0.6000004,0.09347985,63,19,19.497558,19.904762
221,1.383663,0.75428576,0.6000004,0.09428572,63,19,19.632354,19.824176
222,1.3691574,0.7736264,0.6000004,0.09428572,63,19,19.497558,19.904762
224,1.3909158,0.75670328,0.6000004,0.09589743,63,19,19.200134,19.904762
225,1.3965567,0.75670328,0.6000004,0.09589743,63,19,19.497558,20.549452
226,1.4046154,0.78410252,0.6000004,0.09428572,63,19,19.659272,20.549452
